"Service","Provider","Address","City","State","ZipCode","Longitude","Latitude","County"
"TANF (cash assistance)","Posey County DFR","1809 N. Main Street Suite B","Mount Vernon","IN",47620,-87.89712,37.94909,"Posey"
"TANF (cash assistance)","Gibson County DFR","104 E. Spruce Street","Princeton","IN",47670,-87.56768,38.360126,"Gibson"
"TANF (cash assistance)","Vanderburgh County DFR","711 John Street Suite C","Evansville","IN",47713,-87.55429,37.97633,"Vanderburgh"
"TANF (cash assistance)","Hammond Office, Lake County DFR","5255 Hohman Avenue","Hammond","IN",46320,-87.522026,41.61739,"Lake"
"TANF (cash assistance)","Knox County DFR","2335 North 6th Street","Vincennes","IN",47591,-87.5072,38.68829,"Knox"
"TANF (cash assistance)","East Chicago Office, Lake County DFR","3714 Main Street","East Chicago","IN",46312,-87.444984,41.64583,"Lake"
"TANF (cash assistance)","Sullivan County DFR","124 S. State Street","Sullivan","IN",47882,-87.40589,39.094032,"Sullivan"
"TANF (cash assistance)","Vermillion County DFR","121 N. Main Street","Clinton","IN",47842,-87.3983,39.660618,"Vermillion"
"TANF (cash assistance)","Vigo County DFR","1800 Fort Harrison Road Suite 17","Terre Haute","IN",47804,-87.390594,39.5067,"Vigo"
"TANF (cash assistance)","Crown Point Office, Lake County DFR","1865 E. Summit Street","Crown Point","IN",46307,-87.33791,41.427414,"Lake"
"TANF (cash assistance)","Gary Office, Lake County DFR","661 Broadway","Gary","IN",46402,-87.33713,41.59913,"Lake"
"TANF (cash assistance)","Glen Park Office, Lake County DFR","110 W. Ridge Road","Gary","IN",46409,-87.33508,41.549908,"Lake"
"TANF (cash assistance)","Benton County DFR","305 E. 6th Street","Fowler","IN",47944,-87.32026,40.616745,"Benton"
"TANF (cash assistance)","Warren County Division of Family Resources","20 B W. 2nd Street","Williamsport","IN",47993,-87.29518,40.287918,"Warren"
"TANF (cash assistance)","Pike County DFR","2105 E. Main Street Suite B","Petersburg","IN",47567,-87.26008,38.497433,"Pike"
"TANF (cash assistance)","Fountain County DFR","304 N. Sterling Avenue Suite A","Veedersburg","IN",47987,-87.24988,40.11424,"Fountain"
"TANF (cash assistance)","Parke County DFR","513 Rockville Road","Rockville","IN",47872,-87.235,39.774944,"Parke"
"TANF (cash assistance)","Hobart Office, Lake County DFR","1871 East 37th Avenue","Hobart","IN",46342,-87.23458,41.55067,"Lake"
"TANF (cash assistance)","Daviess County DFR","900 West National Highway Suite 4","Washington","IN",47501,-87.185326,38.65185,"Daviess"
"TANF (cash assistance)","Jasper County DFR - IMPACT","841 South College Avenue","Rensselaer","IN",47978,-87.15579,40.925144,"Jasper"
"TANF (cash assistance)","Clay County DFR","1017 E. National Avenue","Brazil","IN",47834,-87.13888,39.520424,"Clay"
"TANF (cash assistance)","Spencer County DFR","201 Elm Street","Rockport","IN",47635,-87.04621,37.884254,"Spencer"
"TANF (cash assistance)","Dubois County DFR","135 37th St. Suite A","Jasper","IN",47546,-86.93641,38.42361,"Dubois"
